Date,State,Day,Cases,Deaths,Code
2020-03-04,North Carolina,43,1,0,NC
2020-03-04,Oregon,43,2,0,OR
2020-03-04,Texas,43,12,0,TX
2020-03-04,Utah,43,1,0,UT
2020-03-04,Washington,43,47,11,WA
2020-03-04,Wisconsin,43,1,0,WI
2020-03-05,Arizona,44,2,0,AZ
2020-03-05,California,44,67,1,CA
2020-03-05,Colorado,44,2,0,CO
2020-03-05,Florida,44,4,0,FL
2020-03-05,Georgia,44,2,0,GA
2020-03-05,Illinois,44,5,0,IL
2020-03-05,Maryland,44,3,0,MD
2020-03-05,Massachusetts,44,3,0,MA
2020-03-05,Nebraska,44,13,0,NE
2020-03-05,Nevada,44,2,0,NV
2020-03-05,New Hampshire,44,2,0,NH
2020-03-05,New Jersey,44,2,0,NJ
2020-03-05,New York,44,18,0,NY
2020-03-05,North Carolina,44,1,0,NC
2020-03-05,Oregon,44,2,0,OR
2020-03-05,Tennessee,44,1,0,TN
2020-03-05,Texas,44,16,0,TX
2020-03-05,Utah,44,1,0,UT
2020-03-05,Washington,44,75,11,WA
2020-03-05,Wisconsin,44,1,0,WI
2020-03-06,Arizona,45,3,0,AZ
2020-03-06,California,45,81,1,CA
2020-03-06,Colorado,45,8,0,CO
2020-03-06,Florida,45,7,2,FL
2020-03-06,Georgia,45,3,0,GA
2020-03-06,Hawaii,45,1,0,HI
2020-03-06,Illinois,45,6,0,IL
2020-03-06,Indiana,45,1,0,IN
2020-03-06,Kentucky,45,1,0,KY
2020-03-06,Maryland,45,3,0,MD
2020-03-06,Massachusetts,45,8,0,MA
2020-03-06,Minnesota,45,1,0,MN
2020-03-06,Nebraska,45,14,0,NE
2020-03-06,Nevada,45,2,0,NV
2020-03-06,New Hampshire,45,2,0,NH
2020-03-06,New Jersey,45,4,0,NJ
2020-03-06,New York,45,39,0,NY
2020-03-06,North Carolina,45,2,0,NC
2020-03-06,Oklahoma,45,1,0,OK
2020-03-06,Oregon,45,2,0,OR
2020-03-06,Pennsylvania,45,2,0,PA
2020-03-06,South Carolina,45,2,0,SC
2020-03-06,Tennessee,45,1,0,TN
2020-03-06,Texas,45,19,0,TX
2020-03-06,Utah,45,3,0,UT
2020-03-06,Washington,45,86,12,WA
2020-03-06,Wisconsin,45,1,0,WI
2020-03-07,Arizona,46,5,0,AZ
2020-03-07,California,46,100,1,CA
2020-03-07,Colorado,46,8,0,CO
2020-03-07,District of Columbia,46,1,0,
2020-03-07,Florida,46,12,2,FL
2020-03-07,Georgia,46,7,0,GA
2020-03-07,Hawaii,46,1,0,HI
2020-03-07,Illinois,46,6,0,IL
2020-03-07,Indiana,46,1,0,IN
2020-03-07,Kansas,46,1,0,KS
2020-03-07,Kentucky,46,1,0,KY
2020-03-07,Maryland,46,3,0,MD
2020-03-07,Massachusetts,46,13,0,MA
2020-03-07,Minnesota,46,1,0,MN
2020-03-07,Missouri,46,1,0,MO
2020-03-07,Nebraska,46,14,0,NE
2020-03-07,Nevada,46,2,0,NV
2020-03-07,New Hampshire,46,4,0,NH
2020-03-07,New Jersey,46,4,0,NJ
2020-03-07,New York,46,77,0,NY
2020-03-07,North Carolina,46,2,0,NC
2020-03-07,Oklahoma,46,1,0,OK
2020-03-07,Oregon,46,6,0,OR
2020-03-07,Pennsylvania,46,4,0,PA
2020-03-07,South Carolina,46,2,0,SC
2020-03-07,Tennessee,46,1,0,TN
2020-03-07,Texas,46,19,0,TX
2020-03-07,Utah,46,3,0,UT
2020-03-07,Vermont,46,1,0,VT
2020-03-07,Virginia,46,1,0,VA
2020-03-07,Washington,46,110,16,WA
2020-03-07,Wisconsin,46,1,0,WI
2020-03-08,Arizona,47,5,0,AZ
2020-03-08,California,47,112,1,CA
2020-03-08,Colorado,47,8,0,CO
2020-03-08,Connecticut,47,1,0,CT
2020-03-08,District of Columbia,47,1,0,
2020-03-08,Florida,47,13,2,FL
2020-03-08,Georgia,47,11,0,GA
2020-03-08,Hawaii,47,2,0,HI
2020-03-08,Illinois,47,7,0,IL
2020-03-08,Indiana,47,2,0,IN
2020-03-08,Iowa,47,3,0,IA
2020-03-08,Kansas,47,1,0,KS
2020-03-08,Kentucky,47,4,0,KY
2020-03-08,Maryland,47,5,0,MD
2020-03-08,Massachusetts,47,28,0,MA
2020-03-08,Minnesota,47,2,0,MN
2020-03-08,Missouri,47,1,0,MO
2020-03-08,Nebraska,47,16,0,NE
2020-03-08,Nevada,47,4,0,NV
2020-03-08,New Hampshire,47,4,0,NH
2020-03-08,New Jersey,47,6,0,NJ
2020-03-08,New York,47,92,0,NY
2020-03-08,North Carolina,47,2,0,NC
2020-03-08,Oklahoma,47,1,0,OK
2020-03-08,Oregon,47,13,0,OR
2020-03-08,Pennsylvania,47,6,0,PA
2020-03-08,South Carolina,47,6,0,SC
2020-03-08,Tennessee,47,3,0,TN
2020-03-08,Texas,47,23,0,TX
2020-03-08,Utah,47,3,0,UT
2020-03-08,Vermont,47,1,0,VT
2020-03-08,Virginia,47,2,0,VA
2020-03-08,Washington,47,141,19,WA
2020-03-08,Wisconsin,47,1,0,WI
2020-03-09,Arizona,48,6,0,AZ
2020-03-09,California,48,172,2,CA
2020-03-09,Colorado,48,12,0,CO
2020-03-09,Connecticut,48,2,0,CT
2020-03-09,District of Columbia,48,4,0,
2020-03-09,Florida,48,14,2,FL
2020-03-09,Georgia,48,17,0,GA
2020-03-09,Hawaii,48,2,0,HI
2020-03-09,Illinois,48,11,0,IL
2020-03-09,Indiana,48,4,0,IN
2020-03-09,Iowa,48,8,0,IA
2020-03-09,Kansas,48,1,0,KS
2020-03-09,Kentucky,48,5,0,KY
2020-03-09,Louisiana,48,1,0,LA
2020-03-09,Maryland,48,6,0,MD
2020-03-09,Massachusetts,48,41,0,MA
2020-03-09,Minnesota,48,2,0,MN
2020-03-09,Missouri,48,1,0,MO
2020-03-09,Nebraska,48,16,0,NE
2020-03-09,Nevada,48,4,0,NV
2020-03-09,New Hampshire,48,4,0,NH
2020-03-09,New Jersey,48,11,0,NJ
2020-03-09,New York,48,122,0,NY
2020-03-09,North Carolina,48,7,0,NC
2020-03-09,Ohio,48,3,0,OH
2020-03-09,Oklahoma,48,1,0,OK
2020-03-09,Oregon,48,13,0,OR
2020-03-09,Pennsylvania,48,10,0,PA
2020-03-09,South Carolina,48,7,0,SC
2020-03-09,Tennessee,48,4,0,TN
2020-03-09,Texas,48,24,0,TX
2020-03-09,Utah,48,3,0,UT
2020-03-09,Vermont,48,1,0,VT
2020-03-09,Virginia,48,5,0,VA
2020-03-09,Washington,48,179,22,WA
2020-03-09,Wisconsin,48,2,0,WI
2020-03-10,Arizona,49,6,0,AZ
2020-03-10,California,49,179,3,CA
2020-03-10,Colorado,49,17,0,CO
2020-03-10,Connecticut,49,2,0,CT
2020-03-10,District of Columbia,49,4,0,
2020-03-10,Florida,49,23,2,FL
2020-03-10,Georgia,49,22,0,GA
2020-03-10,Hawaii,49,2,0,HI
2020-03-10,Illinois,49,19,0,IL
2020-03-10,Indiana,49,6,0,IN
2020-03-10,Iowa,49,13,0,IA
2020-03-10,Kansas,49,1,0,KS
2020-03-10,Kentucky,49,7,0,KY
2020-03-10,Louisiana,49,6,0,LA
2020-03-10,Maryland,49,9,0,MD
2020-03-10,Massachusetts,49,92,0,MA
2020-03-10,Michigan,49,2,0,MI
2020-03-10,Minnesota,49,3,0,MN
2020-03-10,Missouri,49,1,0,MO
2020-03-10,Nebraska,49,17,0,NE
2020-03-10,Nevada,49,4,0,NV
2020-03-10,New Hampshire,49,5,0,NH
2020-03-10,New Jersey,49,15,1,NJ
2020-03-10,New York,49,136,0,NY
2020-03-10,North Carolina,49,7,0,NC
